age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,lte50k
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,lte50k
48,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,lte50k
21,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,lte50k
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,lte50k
31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,,gt50k
48,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,lte50k
31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,lte50k
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,lte50k
24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,lte50k
49,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,lte50k
25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,lte50k
57,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,gt50k
53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,lte50k
44,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,lte50k
41,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,lte50k
29,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,lte50k
25,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,lte50k
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,,lte50k
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,gt50k
50,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,gt50k
47,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,lte50k
43,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,gt50k
46,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,lte50k
35,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,lte50k
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,lte50k
30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,lte50k
30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,lte50k
32,,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,0,0,40,,lte50k
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,lte50k
42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,gt50k
29,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,lte50k
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,lte50k
28,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,lte50k
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,gt50k
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,gt50k
25,,Some-college,10,Never-married,,Own-child,White,Male,0,0,40,United-States,lte50k
19,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,lte50k
31,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,lte50k
29,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,gt50k
23,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,lte50k
79,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,lte50k
27,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,lte50k
40,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,lte50k
67,,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,lte50k
18,Private,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,lte50k
31,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,lte50k
18,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,lte50k
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,lte50k
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,lte50k
59,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,lte50k
44,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,gt50k
53,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,lte50k
49,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,gt50k
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,lte50k
30,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,lte50k
43,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,gt50k
57,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,lte50k
37,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,lte50k
28,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,lte50k
30,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,,lte50k
34,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,gt50k
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,lte50k
48,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,gt50k
37,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,gt50k
48,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,lte50k
32,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,lte50k
76,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,gt50k
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,gt50k
47,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,lte50k
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,lte50k
29,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,lte50k
32,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,gt50k
17,,10th,6,Never-married,,Own-child,White,Female,34095,0,32,United-States,lte50k
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,lte50k
31,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,lte50k
42,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,lte50k
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,lte50k
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,gt50k
56,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,gt50k
28,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,lte50k
36,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,lte50k
53,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,lte50k
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,lte50k
49,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,gt50k
55,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,lte50k
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,lte50k
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,lte50k
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,lte50k
30,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,lte50k
29,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,gt50k
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,lte50k
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,gt50k
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,lte50k
31,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,gt50k
35,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,lte50k
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,lte50k
28,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,lte50k
24,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,lte50k
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,lte50k
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,lte50k
46,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,lte50k
38,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,gt50k
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,lte50k
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,lte50k
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,lte50k
49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,gt50k
61,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,lte50k
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,lte50k
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,lte50k
45,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,gt50k
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,lte50k
31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,lte50k
22,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,lte50k
36,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,lte50k
64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,lte50k
43,,Some-college,10,Divorced,,Not-in-family,White,Female,0,0,40,United-States,lte50k
47,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,lte50k
34,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,lte50k
33,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,lte50k
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,lte50k
52,,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,45,United-States,gt50k
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,lte50k
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,lte50k
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,lte50k
29,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,lte50k
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,lte50k
68,,1st-4th,2,Divorced,,Not-in-family,White,Female,0,0,20,United-States,lte50k
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,lte50k
44,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,lte50k
28,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,lte50k
45,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,gt50k
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,lte50k
39,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,lte50k
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,lte50k
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,lte50k
66,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,lte50k
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,lte50k
28,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,lte50k
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,gt50k
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,lte50k
28,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,gt50k
27,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,lte50k
21,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,lte50k
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,lte50k
18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,lte50k
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,lte50k
44,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,gt50k
43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,lte50k
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,lte50k
40,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,gt50k
37,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,gt50k
34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,lte50k
41,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,lte50k
53,,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,50,United-States,lte50k
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,lte50k
58,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,gt50k
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,lte50k
24,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,lte50k
41,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,lte50k
47,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,lte50k
41,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,lte50k
23,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,lte50k
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,lte50k
40,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,gt50k
35,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,gt50k
24,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,lte50k
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,lte50k
19,,HS-grad,9,Never-married,,Own-child,White,Male,0,0,40,Italy,lte50k
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,gt50k
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,lte50k
37,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,lte50k
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,lte50k
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,gt50k
35,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,lte50k
58,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,gt50k
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,lte50k
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,lte50k
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,gt50k
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,lte50k
60,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,lte50k
54,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,gt50k
37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,gt50k
50,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,lte50k
38,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,lte50k
45,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,lte50k
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,lte50k
31,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,lte50k
64,,1st-4th,2,Divorced,,Not-in-family,White,Male,0,0,40,United-States,lte50k
90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,lte50k
54,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,lte50k
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,lte50k
18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,lte50k
60,,10th,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,lte50k
66,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,lte50k
75,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,lte50k
65,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,lte50k
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,lte50k
41,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,lte50k
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,lte50k
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,lte50k
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,gt50k
59,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,lte50k
40,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,lte50k
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,gt50k
38,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,gt50k
23,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,lte50k
40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,gt50k
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,lte50k
24,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,lte50k
20,,Some-college,10,Never-married,,Own-child,White,Male,0,0,20,United-States,lte50k
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,lte50k
56,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,,lte50k
58,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,gt50k
32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,lte50k
40,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,gt50k
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,,lte50k
41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,gt50k
42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,lte50k
59,Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,lte50k
19,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,lte50k
58,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,lte50k
42,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,gt50k
20,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,lte50k
