,animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,cluster
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,mammal,0
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird,2
34,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish,6
35,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,mammal,0
36,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal,0
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird,2
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish,1
39,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,insect,3
40,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect,3
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,bird,2
42,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,insect,3
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird,2
44,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
45,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
46,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrate,3
47,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
48,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,mammal,4
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal,4
50,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
51,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect,3
52,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,amphibian,4
53,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,invertebrate,3
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal,4
55,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal,0
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,bird,2
57,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird,2
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,bird,2
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird,2
60,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish,1
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish,1
62,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptile,5
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mammal,4
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal,0
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal,1
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mammal,4
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal,0
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird,2
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,invertebrate,3
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish,6
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mammal,1
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mammal,0
76,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile,1
77,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,invertebrate,5
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird,2
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird,2
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile,5
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrate,5
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish,6
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird,2
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mammal,0
85,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,invertebrate,3
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish,1
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird,2
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect,3
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,amphibian,4
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile,4
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile,4
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish,1
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal,0
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal,0
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird,2
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mammal,0
97,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insect,3
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrate,5
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird,2
